pixel,reflectance1,reflectance2,absorption1,absorption2,side
1,2.67E-05,1.39E-07,0.135984833,0.289703865,0
2,2.58E-05,1.51E-07,0,0.212116893,0
3,2.38E-05,1.67E-07,0.171344953,0.094002823,0
4,2.26E-05,1.52E-07,0.157642911,0.322743931,0
5,2.14E-05,1.72E-07,0.154687023,0.1682139,0
6,2.03E-05,1.84E-07,0.149222574,0.106879896,0
7,1.94E-05,1.65E-07,0.127776413,0.356786932,0
8,1.84E-05,1.87E-07,0.130557823,0.202222844,0
9,1.74E-05,2.05E-07,0.135818446,0.104502169,0
10,1.64E-05,1.90E-07,0.180850026,0.296677652,0
11,1.56E-05,2.15E-07,0.177555234,0.14012884,0
12,1.48E-05,2.10E-07,0.207591804,0.247270061,0
13,1.40E-05,2.25E-07,0.241530085,0.187686503,0
14,1.32E-05,2.28E-07,0.258076551,0.232469062,0
15,1.26E-05,2.68E-07,0.269819912,0,0
16,1.19E-05,2.42E-07,0.30250004,0.252766871,0
17,1.12E-05,2.65E-07,0.329294398,0.148460216,0
18,1.06E-05,2.72E-07,0.370564243,0.166982,0
19,1.01E-05,2.68E-07,0.361666303,0.261275983,0
20,9.58E-06,2.96E-07,0.396189071,0.1435197,0
21,9.11E-06,3.18E-07,0.40491271,0.074492362,0
22,8.59E-06,3.18E-07,0.456255059,0.14192668,0
23,8.19E-06,3.26E-07,0.454017504,0.162490966,0
24,7.79E-06,3.63E-07,0.466609643,0.024712885,0
25,7.32E-06,3.53E-07,0.530757357,0.14556953,0
26,6.97E-06,3.65E-07,0.537214149,0.154502611,0
27,6.63E-06,3.74E-07,0.555199361,0.176051323,0
28,6.27E-06,4.09E-07,0.593677014,0.071194863,0
29,5.93E-06,3.88E-07,0.629894268,0.246399034,0
30,5.68E-06,4.40E-07,0.616915403,0.069182112,0
31,5.40E-06,4.33E-07,0.632160405,0.176673828,0
32,5.10E-06,4.50E-07,0.681388676,0.171176082,0
33,4.88E-06,4.85E-07,0.668100384,0.094976573,0
34,4.63E-06,4.97E-07,0.691326733,0.11575486,0
35,4.40E-06,5.18E-07,0.712282815,0.107779296,0
36,4.15E-06,5.16E-07,0.772539321,0.191495801,0
37,3.97E-06,5.64E-07,0.768069427,0.083707333,0
38,3.76E-06,5.43E-07,0.799026041,0.239689136,0
39,3.66E-06,6.05E-07,0.720171939,0.090464611,0
40,3.44E-06,6.19E-07,0.791220013,0.119863572,0
41,3.26E-06,6.33E-07,0.826342868,0.15364322,0
42,3.12E-06,6.68E-07,0.817606785,0.117899741,0
43,2.96E-06,7.04E-07,0.84858106,0.084127924,0
44,2.84E-06,6.99E-07,0.83928213,0.180074843,0
45,2.68E-06,7.49E-07,0.884581653,0.112510644,0
46,2.57E-06,7.77E-07,0.874890728,0.113663792,0
47,2.46E-06,7.96E-07,0.885400827,0.144762912,0
48,2.33E-06,8.21E-07,0.913985329,0.158990122,0
49,2.24E-06,8.63E-07,0.895297361,0.131255746,0
50,2.13E-06,8.85E-07,0.917648553,0.160768373,0
51,2.06E-06,9.35E-07,0.881737563,0.122460825,0
52,1.94E-06,9.60E-07,0.946601696,0.150345176,0
53,1.87E-06,1.02E-06,0.917430698,0.104952397,0
54,1.79E-06,1.04E-06,0.926735002,0.136572489,0
55,1.73E-06,1.08E-06,0.898941181,0.141252666,0
56,1.62E-06,1.11E-06,0.97071805,0.177482171,0
57,1.58E-06,1.17E-06,0.896309744,0.127626733,0
58,1.51E-06,1.20E-06,0.916909106,0.177228073,0
