pixel,reflectance1,reflectance2,absorption1,absorption2,side
59,1.45E-06,1.26E-06,0.896135558,0.1461257,0
60,1.39E-06,1.33E-06,0.907707943,0.116612548,0
61,1.31E-06,1.36E-06,0.954064554,0.142451594,0
62,1.26E-06,1.40E-06,0.952492692,0.178001517,0
63,1.22E-06,1.47E-06,0.92509506,0.159166658,0
64,1.16E-06,1.53E-06,0.940656877,0.146941106,0
65,1.11E-06,1.59E-06,0.956472546,0.161955363,0
66,1.06E-06,1.66E-06,0.974777271,0.138670313,0
67,1.03E-06,1.74E-06,0.922033035,0.133056263,0
68,9.72E-07,1.77E-06,0.976555105,0.183265827,0
69,9.25E-07,1.87E-06,1,0.147723513,0
70,8.99E-07,1.93E-06,0.959614134,0.171307476,0
71,8.63E-07,2.03E-06,0.957888242,0.149731678,0
72,8.39E-07,2.10E-06,0.916323011,0.157066744,0
73,8.04E-07,2.18E-06,0.920000133,0.174537625,0
74,7.88E-07,2.28E-06,0.856678612,0.157101384,0
75,7.41E-07,2.37E-06,0.921494972,0.168769718,0
76,7.05E-07,2.48E-06,0.945306453,0.153023717,0
77,6.85E-07,2.59E-06,0.911245591,0.144946877,0
78,6.57E-07,2.68E-06,0.914876196,0.165028996,0
79,6.32E-07,2.81E-06,0.910323544,0.146173779,0
80,6.18E-07,2.92E-06,0.8581577,0.15803989,0
81,5.85E-07,3.04E-06,0.897592377,0.165634129,0
82,5.66E-07,3.18E-06,0.877906707,0.158114001,0
83,5.56E-07,3.31E-06,0.811480519,0.16433199,0
84,5.62E-07,3.48E-06,0.668732597,0.136721967,0
85,4.92E-07,3.58E-06,0.933813033,0.182171455,0
86,4.92E-07,3.78E-06,0.822731271,0.145402964,0
87,4.64E-07,3.92E-06,0.879282328,0.167097867,0
88,4.56E-07,4.09E-06,0.814084417,0.164913851,0
89,4.51E-07,4.28E-06,0.737742452,0.158651885,0
90,4.31E-07,4.47E-06,0.753035654,0.158915239,0
91,4.06E-07,4.67E-06,0.810768435,0.155573036,0
92,3.97E-07,4.88E-06,0.760754122,0.15195019,0
93,3.81E-07,5.11E-06,0.7689293,0.148167953,0
94,3.69E-07,5.32E-06,0.751357246,0.162539781,0
95,3.54E-07,5.56E-06,0.762426505,0.158904387,0
96,3.24E-07,5.80E-06,0.889990849,0.164673496,0
97,3.36E-07,6.05E-06,0.69263948,0.174187158,0
98,3.47E-07,6.37E-06,0.50427643,0.151948003,0
99,3.02E-07,6.65E-06,0.770381548,0.160685403,0
100,3.07E-07,6.91E-06,0.627412447,0.185188795,0
101,3.14E-07,7.21E-06,0.46973962,0.185188795,0
102,2.72E-07,7.50E-06,0.740854923,0.185188795,0
103,2.62E-07,7.86E-06,0.739435486,0.185188795,0
104,2.72E-07,8.24E-06,0.551032577,0.185188795,0
105,2.49E-07,8.59E-06,0.679670672,0.185188795,0
106,2.64E-07,8.98E-06,0.441025541,0.185188795,0
107,2.04E-07,9.33E-06,0.986544001,0.185188795,0
108,2.35E-07,9.85E-06,0.54039611,0.185188795,0
109,2.44E-07,1.03E-05,0.353486362,0.185188795,0
110,2.31E-07,1.07E-05,0.406106728,0.185188795,0
111,2.05E-07,1.13E-05,0.607813959,0.185188795,0
112,2.06E-07,1.17E-05,0.497636963,0.185188795,0
113,2.18E-07,1.23E-05,0.270448469,0.185188795,0
114,1.95E-07,1.29E-05,0.450702666,0.185188795,0
115,1.88E-07,1.35E-05,0.451716418,0.185188795,0
116,1.89E-07,1.42E-05,0.354228667,0.185188795,0
117,1.79E-07,1.48E-05,0.397341742,0.185188795,0
118,1.63E-07,1.55E-05,0.530407447,0.185188795,0
119,1.67E-07,1.63E-05,0.391534757,0.185188795,0
120,1.65E-07,1.70E-05,0.336645266,0.185188795,0
121,1.66E-07,1.78E-05,0.235777942,0.185188795,0
122,1.45E-07,1.86E-05,0.463166523,0.185188795,0
123,1.48E-07,1.95E-05,0.341090895,0.185188795,0
124,1.54E-07,2.04E-05,0.164736169,0.185188795,0
125,1.56E-07,2.13E-05,0.060089622,0.185188795,0
126,1.33E-07,2.23E-05,0.327151892,0.185188795,0
127,1.26E-07,2.33E-05,0.369906409,0.185188795,0
128,1.30E-07,2.33E-05,0.224827444,0.185188795,0
