pixel,reflectance1,reflectance2,absorption1,absorption2,side,
1,2.16E-05,1.49E-07,0.00578358,0.880631149,2,
2,2.09E-05,2.07E-07,0.00578358,0,2,
3,2.01E-05,1.74E-07,0.00578358,0.623550639,2,
4,1.93E-05,1.70E-07,0.00578358,0.792898859,2,
5,1.85E-05,1.65E-07,0.00578358,1,2,
6,1.77E-05,2.06E-07,0.00578358,0.424359681,2,
7,1.69E-05,1.91E-07,0.00578358,0.751408662,2,
8,1.62E-05,2.11E-07,0.00578358,0.551742166,2,
9,1.55E-05,2.12E-07,0.00578358,0.640291422,2,
10,1.48E-05,2.30E-07,0.00578358,0.5013297,2,
11,1.42E-05,2.13E-07,0.00578358,0.848635496,2,
12,1.35E-05,2.26E-07,0.00578358,0.770833037,2,
13,1.30E-05,2.25E-07,0.00578358,0.890781077,2,
14,1.24E-05,2.49E-07,0.00578358,0.675821276,2,
15,1.19E-05,2.43E-07,0.00578358,0.877668246,2,
16,1.13E-05,2.50E-07,0.00578358,0.893748764,2,
17,1.09E-05,3.09E-07,0.00578358,0.310890895,2,
18,1.04E-05,2.88E-07,0.00578358,0.662604299,2,
19,9.97E-06,2.76E-07,0.00578358,0.916332497,2,
20,9.58E-06,3.10E-07,0.00578358,0.646928469,2,
21,9.15E-06,3.14E-07,0.010414518,0.724298959,2,
22,8.71E-06,3.32E-07,0.046310619,0.649180704,2,
23,8.31E-06,3.22E-07,0.065626533,0.870789454,2,
24,7.98E-06,3.49E-07,0.037281116,0.715669222,2,
25,7.64E-06,3.51E-07,0.033062483,0.818848709,2,
26,7.33E-06,3.62E-07,0.016114663,0.83411804,2,
27,6.94E-06,4.09E-07,0.104903229,0.534795844,2,
28,6.69E-06,4.14E-07,0.055918374,0.621236231,2,
29,6.46E-06,4.60E-07,0.001385246,0.372571245,2,
30,6.18E-06,4.27E-07,0.004641889,0.763133191,2,
31,5.87E-06,4.61E-07,0.06531376,0.613190875,2,
32,5.64E-06,4.81E-07,0.058039543,0.590606009,2,
33,5.37E-06,4.70E-07,0.101686611,0.803543316,2,
34,5.16E-06,5.22E-07,0.093167084,0.550436401,2,
35,4.97E-06,5.30E-07,0.053052647,0.625329903,2,
36,4.73E-06,5.51E-07,0.115281458,0.618988455,2,
37,4.57E-06,5.59E-07,0.061033772,0.698732026,2,
38,4.37E-06,5.98E-07,0.083949639,0.583245337,2,
39,4.25E-06,6.19E-07,0,0.589304369,2,
40,3.98E-06,6.27E-07,0.156075526,0.673554363,2,
41,3.83E-06,6.66E-07,0.14403085,0.5836551,2,
42,3.67E-06,6.87E-07,0.152632552,0.607571075,2,
43,3.50E-06,7.00E-07,0.209771929,0.676003012,2,
44,3.31E-06,6.83E-07,0.294913137,0.911347772,2,
45,3.23E-06,7.28E-07,0.197594713,0.807352781,2,
46,3.11E-06,7.88E-07,0.196503686,0.642930887,2,
47,2.98E-06,8.22E-07,0.213725891,0.619167426,2,
48,2.85E-06,8.62E-07,0.235091089,0.579636428,2,
49,2.73E-06,8.73E-07,0.245405503,0.676433447,2,
50,2.63E-06,9.03E-07,0.250221046,0.689320202,2,
51,2.51E-06,9.35E-07,0.279467167,0.699284481,2,
52,2.43E-06,9.71E-07,0.256639948,0.70158443,2,
53,2.34E-06,9.82E-07,0.229853843,0.806825417,2,
54,2.24E-06,1.03E-06,0.262448923,0.775403564,2,
55,2.16E-06,1.07E-06,0.245181662,0.757003689,2,
56,2.09E-06,1.11E-06,0.216454529,0.764619924,2,
57,2.00E-06,1.18E-06,0.253865673,0.672784199,2,
58,1.92E-06,1.21E-06,0.267197555,0.729341055,2,
59,1.84E-06,1.25E-06,0.291746252,0.762047384,2,
