pixel,reflectance1,reflectance2,absorption1,absorption2,side,
60,1.79E-06,1.29E-06,0.229618741,0.78098631,2,
61,1.72E-06,1.33E-06,0.241738037,0.817694738,2,
62,1.65E-06,1.40E-06,0.275140558,0.775026136,2,
63,1.60E-06,1.46E-06,0.229975694,0.740256895,2,
64,1.53E-06,1.52E-06,0.256666176,0.747246371,2,
65,1.47E-06,1.55E-06,0.263902859,0.817629668,2,
66,1.40E-06,1.61E-06,0.320297628,0.836139401,2,
67,1.33E-06,1.66E-06,0.412046125,0.879569308,2,
68,1.32E-06,1.76E-06,0.238296876,0.785780616,2,
69,1.24E-06,1.81E-06,0.364371011,0.855028229,2,
70,1.21E-06,1.87E-06,0.329923489,0.880608104,2,
71,1.15E-06,1.99E-06,0.374336888,0.771616989,2,
72,1.11E-06,2.05E-06,0.383953486,0.811607061,2,
73,1.07E-06,2.14E-06,0.371864275,0.799189788,2,
74,1.04E-06,2.20E-06,0.348940116,0.875068278,2,
75,9.97E-07,2.29E-06,0.367569362,0.874887912,2,
76,9.61E-07,2.39E-06,0.369040605,0.853893688,2,
77,9.16E-07,2.49E-06,0.425437832,0.862410276,2,
78,9.03E-07,2.61E-06,0.320300721,0.817394833,2,
79,8.52E-07,2.68E-06,0.422442143,0.88971618,2,
80,8.15E-07,2.81E-06,0.460068793,0.86945487,2,
81,7.86E-07,2.96E-06,0.460463072,0.812379612,2,
82,7.50E-07,3.08E-06,0.512655766,0.817053302,2,
83,7.02E-07,3.19E-06,0.646959559,0.85501459,2,
84,7.16E-07,3.40E-06,0.398810936,0.738410784,2,
85,7.01E-07,3.57E-06,0.333948204,0.707658795,2,
86,6.35E-07,3.68E-06,0.611355524,0.75661227,2,
87,6.33E-07,3.87E-06,0.469923597,0.721550593,2,
88,6.11E-07,3.99E-06,0.465812152,0.778686541,2,
89,5.91E-07,4.25E-06,0.460616517,0.667553134,2,
90,5.60E-07,4.43E-06,0.536083569,0.668034181,2,
91,5.14E-07,4.65E-06,0.758129464,0.647024699,2,
92,5.13E-07,4.86E-06,0.610183954,0.631113817,2,
93,5.12E-07,5.11E-06,0.472176504,0.591960386,2,
94,4.77E-07,5.31E-06,0.619389466,0.61499604,2,
95,4.51E-07,5.56E-06,0.704003998,0.607193272,2,
96,4.58E-07,5.85E-06,0.493477073,0.561005517,2,
97,4.73E-07,6.14E-06,0.220934753,0.535431512,2,
98,4.20E-07,6.45E-06,0.570903986,0.496636406,2,
99,4.17E-07,6.79E-06,0.456238901,0.454660888,2,
100,3.83E-07,6.99E-06,0.662625215,0.547172876,2,
101,3.62E-07,7.33E-06,0.75034531,0.524982328,2,
102,3.64E-07,7.69E-06,0.589970294,0.507473646,2,
103,3.26E-07,8.09E-06,0.884963016,0.471163094,2,
104,3.36E-07,8.54E-06,0.629180683,0.413483702,2,
105,3.32E-07,8.91E-06,0.543104693,0.428709033,2,
106,3.31E-07,9.38E-06,0.420001465,0.387100809,2,
107,3.10E-07,9.91E-06,0.537504527,0.325834081,2,
108,2.89E-07,1.05E-05,0.68346987,0.270568015,2,
109,2.88E-07,1.09E-05,0.56406697,0.293139999,2,
110,2.86E-07,1.15E-05,0.465063698,0.2459086,2,
111,2.70E-07,1.22E-05,0.5477696,0.183109728,2,
112,2.50E-07,1.28E-05,0.705182222,0.184145975,2,
113,2.53E-07,1.34E-05,0.535187648,0.185509925,2,
114,2.45E-07,1.40E-05,0.528282136,0.200282215,2,
115,2.22E-07,1.47E-05,0.77563279,0.186641519,2,
116,2.17E-07,1.55E-05,0.728728004,0.157857601,2,
117,2.08E-07,1.63E-05,0.774372012,0.11657131,2,
118,2.13E-07,1.71E-05,0.552845131,0.148343848,2,
119,2.04E-07,1.79E-05,0.586073393,0.151381099,2,
120,1.76E-07,1.88E-05,1,0.154344203,2,
121,2.05E-07,1.97E-05,0.328931529,0.154344203,2,
122,1.84E-07,2.08E-05,0.607628584,0.154344203,2,
123,1.64E-07,2.18E-05,0.891897288,0.154344203,2,
124,1.79E-07,2.28E-05,0.453884289,0.154344203,2,
125,1.66E-07,2.38E-05,0.604746117,0.154344203,2,
126,1.50E-07,2.49E-05,0.840796934,0.154344203,2,
127,1.49E-07,2.59E-05,0.756822438,0.154344203,2,
128,1.77E-07,2.72E-05,0.051969741,0.154344203,2,
