pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,3.99E-05,2.71E-07,0.343205519,0.072639789,2,
2,3.80E-05,2.72E-07,0.289607105,0.262850314,2,
3,3.63E-05,2.62E-07,0.221822167,0.711910841,2,
4,3.46E-05,2.66E-07,0.14622663,0.820705201,2,
5,3.30E-05,2.90E-07,0.112194836,0.4873718,2,
6,3.15E-05,3.08E-07,0.048666084,0.313553071,2,
7,2.99E-05,3.08E-07,0.080810743,0.51392962,2,
8,2.85E-05,3.23E-07,0.041384248,0.41989938,2,
9,2.72E-05,3.28E-07,0.03686807,0.53768338,2,
10,2.58E-05,3.61E-07,0.075089055,0.125367174,2,
11,2.45E-05,3.62E-07,0.115473417,0.332908035,2,
12,2.33E-05,3.67E-07,0.136224122,0.451143628,2,
13,2.21E-05,3.52E-07,0.173441801,0.958295391,2,
14,2.11E-05,3.99E-07,0.136174423,0.348319153,2,
15,2.00E-05,3.93E-07,0.230970181,0.675380878,2,
16,1.90E-05,4.02E-07,0.281424596,0.759349952,2,
17,1.81E-05,4.29E-07,0.256569133,0.530613144,2,
18,1.72E-05,4.25E-07,0.291230075,0.83499225,2,
19,1.64E-05,4.71E-07,0.299947812,0.360039312,2,
20,1.56E-05,4.75E-07,0.363187276,0.533746682,2,
21,1.49E-05,5.30E-07,0.351014984,0,2,
22,1.43E-05,4.93E-07,0.336200235,0.744897644,2,
23,1.36E-05,5.33E-07,0.376198315,0.433163667,2,
24,1.30E-05,5.44E-07,0.383099457,0.535483986,2,
25,1.23E-05,5.84E-07,0.420319669,0.270390724,2,
26,1.18E-05,5.82E-07,0.448509995,0.536396094,2,
27,1.13E-05,6.08E-07,0.414204663,0.472170788,2,
28,1.08E-05,6.28E-07,0.419623491,0.487472295,2,
29,1.02E-05,6.07E-07,0.500502571,1,2,
30,9.91E-06,6.80E-07,0.392140234,0.408208263,2,
31,9.43E-06,7.00E-07,0.448959053,0.450313681,2,
32,9.05E-06,7.58E-07,0.428886199,0.106144356,2,
33,8.62E-06,7.70E-07,0.470156772,0.254460304,2,
34,8.29E-06,7.95E-07,0.430521192,0.26855583,2,
35,7.92E-06,7.92E-07,0.452974724,0.570364248,2,
36,7.60E-06,8.13E-07,0.447906669,0.635420947,2,
37,7.29E-06,9.01E-07,0.435979472,0.111582633,2,
38,6.95E-06,9.13E-07,0.47895224,0.279993921,2,
39,6.70E-06,9.15E-07,0.435382154,0.538216387,2,
40,6.40E-06,9.50E-07,0.461742451,0.521405805,2,
41,6.14E-06,1.01E-06,0.459738017,0.298891748,2,
42,5.82E-06,1.03E-06,0.55041381,0.470545155,2,
43,5.61E-06,1.06E-06,0.516620997,0.465580384,2,
44,5.39E-06,1.10E-06,0.501328977,0.476815034,2,
45,5.14E-06,1.11E-06,0.547304079,0.674952541,2,
46,4.94E-06,1.16E-06,0.544802076,0.604969156,2,
47,4.71E-06,1.20E-06,0.599224537,0.658613588,2,
48,4.49E-06,1.22E-06,0.657654783,0.788872667,2,
49,4.37E-06,1.32E-06,0.543109137,0.452521167,2,
50,4.13E-06,1.34E-06,0.66961987,0.659386418,2,
51,3.99E-06,1.41E-06,0.627410786,0.539544617,2,
52,3.79E-06,1.41E-06,0.707368549,0.800952226,2,
53,3.67E-06,1.50E-06,0.643328551,0.589639234,2,
54,3.52E-06,1.55E-06,0.657512063,0.660779409,2,
