pixel,reflectance1,reflectance2,absorption1,absorption2,side
1,4.94E-05,2.05E-07,0,0.937384952,0
2,4.73E-05,2.13E-07,0,0.933939814,0
3,4.51E-05,2.13E-07,0,1,0
4,4.31E-05,2.38E-07,0,0.85323153,0
5,4.13E-05,2.38E-07,0,0.925933279,0
6,3.96E-05,2.65E-07,0,0.78757972,0
7,3.77E-05,2.58E-07,0,0.90004178,0
8,3.60E-05,2.68E-07,0,0.900229733,0
9,3.45E-05,2.92E-07,0,0.802685955,0
10,3.28E-05,2.95E-07,0,0.850746202,0
11,3.13E-05,3.36E-07,0,0.665010938,0
12,3.00E-05,3.07E-07,0,0.909349093,0
13,2.87E-05,3.29E-07,0,0.840424468,0
14,2.74E-05,3.39E-07,0,0.851379451,0
15,2.62E-05,3.66E-07,0,0.773380313,0
16,2.49E-05,3.50E-07,0,0.931870074,0
17,2.39E-05,3.82E-07,0,0.829286302,0
18,2.28E-05,4.00E-07,0,0.809445317,0
19,2.17E-05,3.91E-07,0,0.926798363,0
20,2.08E-05,4.44E-07,0,0.737899305,0
21,1.99E-05,4.50E-07,0.005042394,0.786812922,0
22,1.89E-05,4.54E-07,0.022308967,0.84027372,0
23,1.80E-05,4.92E-07,0.032898816,0.748151649,0
24,1.72E-05,5.07E-07,0.035804646,0.761928283,0
25,1.64E-05,5.38E-07,0.040757195,0.709729797,0
26,1.56E-05,5.14E-07,0.056300103,0.88679334,0
27,1.49E-05,5.57E-07,0.068293719,0.791575826,0
28,1.42E-05,5.95E-07,0.075994115,0.727977665,0
29,1.36E-05,6.02E-07,0.085289174,0.781419775,0
30,1.30E-05,6.22E-07,0.090531294,0.786569154,0
31,1.24E-05,6.71E-07,0.106918625,0.701314899,0
32,1.18E-05,6.65E-07,0.122877516,0.80226452,0
33,1.12E-05,7.08E-07,0.131153969,0.743657094,0
34,1.07E-05,7.44E-07,0.147374141,0.713690052,0
35,1.03E-05,7.84E-07,0.14494048,0.677756577,0
36,9.74E-06,8.10E-07,0.170638677,0.688245672,0
37,9.36E-06,8.34E-07,0.167844643,0.705534896,0
38,8.83E-06,8.58E-07,0.203623531,0.72512206,0
39,8.52E-06,9.30E-07,0.191996323,0.62269286,0
40,8.00E-06,9.35E-07,0.2347805,0.69671384,0
41,7.68E-06,9.93E-07,0.236906786,0.642674867,0
42,7.30E-06,1.03E-06,0.256496233,0.641674358,0
43,6.93E-06,1.07E-06,0.277762718,0.647498142,0
44,6.61E-06,1.07E-06,0.290878698,0.7208118,0
45,6.34E-06,1.15E-06,0.292442607,0.653545115,0
46,6.04E-06,1.17E-06,0.3092192,0.68440541,0
47,5.80E-06,1.25E-06,0.309884999,0.632760349,0
48,5.52E-06,1.29E-06,0.327364389,0.642484534,0
49,5.27E-06,1.35E-06,0.338465551,0.611180475,0
50,5.03E-06,1.39E-06,0.348447005,0.645903012,0
51,4.87E-06,1.48E-06,0.336696937,0.577242176,0
52,4.68E-06,1.50E-06,0.336801191,0.631927381,0
53,4.48E-06,1.59E-06,0.346171079,0.590016742,0
54,4.25E-06,1.67E-06,0.369818452,0.564429497,0
55,4.05E-06,1.69E-06,0.383152518,0.620837967,0
56,3.85E-06,1.77E-06,0.401737659,0.599778523,0
57,3.73E-06,1.87E-06,0.388529562,0.564509961,0
58,3.56E-06,1.92E-06,0.404647388,0.585962811,0
59,3.41E-06,1.99E-06,0.410462451,0.599001591,0
60,3.29E-06,2.09E-06,0.402857947,0.568641929,0
61,3.10E-06,2.15E-06,0.437456553,0.593309565,0
62,2.99E-06,2.24E-06,0.434355434,0.598345781,0
63,2.88E-06,2.39E-06,0.430724225,0.526536934,0
64,2.72E-06,2.44E-06,0.466047121,0.567473105,0
65,2.64E-06,2.56E-06,0.448091793,0.543193477,0
66,2.51E-06,2.64E-06,0.468381753,0.568796052,0
67,2.41E-06,2.77E-06,0.475455255,0.546019852,0
68,2.29E-06,2.82E-06,0.495581318,0.605313286,0
69,2.15E-06,2.94E-06,0.533678596,0.596886895,0
70,2.07E-06,3.12E-06,0.529578474,0.538970176,0
71,1.97E-06,3.18E-06,0.546037551,0.601875999,0
72,1.91E-06,3.38E-06,0.534767095,0.544506642,0
73,1.83E-06,3.54E-06,0.5417347,0.523476751,0
74,1.74E-06,3.67E-06,0.561780104,0.534435279,0
75,1.67E-06,3.77E-06,0.56541253,0.576830948,0
76,1.64E-06,3.96E-06,0.543372812,0.548754597,0
77,1.50E-06,4.09E-06,0.61151761,0.575425899,0
78,1.45E-06,4.25E-06,0.608179706,0.580708219,0
79,1.42E-06,4.50E-06,0.59098601,0.531261854,0
80,1.38E-06,4.67E-06,0.577068402,0.539364833,0
81,1.27E-06,4.88E-06,0.640639794,0.536491721,0
82,1.19E-06,5.12E-06,0.675342587,0.511417592,0
83,1.21E-06,5.34E-06,0.601598823,0.509150058,0
84,1.07E-06,5.57E-06,0.721880833,0.509721312,0
85,1.07E-06,5.84E-06,0.666753132,0.486170003,0
86,1.01E-06,6.09E-06,0.700893662,0.486174529,0
87,9.64E-07,6.36E-06,0.710160323,0.482589643,0
88,9.33E-07,6.69E-06,0.703436543,0.455769104,0
89,9.23E-07,7.04E-06,0.667269242,0.425934058,0
90,8.91E-07,7.35E-06,0.66586428,0.42156975,0
91,8.28E-07,7.68E-06,0.71414549,0.414635625,0
92,7.84E-07,8.03E-06,0.738275729,0.409791066,0
93,7.73E-07,8.50E-06,0.70753143,0.360267057,0
94,7.51E-07,8.82E-06,0.696522813,0.37999728,0
95,6.97E-07,9.24E-06,0.746918014,0.368390682,0
96,6.85E-07,9.72E-06,0.721013819,0.342093169,0
97,6.33E-07,1.02E-05,0.775068372,0.331092615,0
98,5.93E-07,1.08E-05,0.8132918,0.289881892,0
99,6.31E-07,1.13E-05,0.686173138,0.263114441,0
100,5.70E-07,1.18E-05,0.768810771,0.283197234,0
101,6.01E-07,1.24E-05,0.655814576,0.237823415,0
102,5.33E-07,1.31E-05,0.761520435,0.219430056,0
103,5.20E-07,1.36E-05,0.746061313,0.227155929,0
104,4.99E-07,1.44E-05,0.751755146,0.195404967,0
105,4.91E-07,1.51E-05,0.727276713,0.166077002,0
106,4.58E-07,1.59E-05,0.769818444,0.152690495,0
107,4.81E-07,1.67E-05,0.664228038,0.127863169,0
108,4.00E-07,1.75E-05,0.843759984,0.120115753,0
109,4.19E-07,1.85E-05,0.743687678,0.074047031,0
110,4.35E-07,1.94E-05,0.657270491,0.083736789,0
111,3.97E-07,2.05E-05,0.724309583,0.043347891,0
112,3.62E-07,2.14E-05,0.789705931,0.050142402,0
113,3.85E-07,2.25E-05,0.675699766,0.027685365,0
114,3.16E-07,2.35E-05,0.865563466,0.03947078,0
115,3.28E-07,2.47E-05,0.780629905,0.027845517,0
116,2.90E-07,2.59E-05,0.882390477,0.033007638,0
117,3.18E-07,2.73E-05,0.733878888,0.019269147,0
118,2.98E-07,2.87E-05,0.767617883,0,0
119,3.20E-07,3.01E-05,0.646665789,0.01163764,0
120,2.45E-07,3.15E-05,0.911682357,0.016275349,0
121,2.47E-07,3.31E-05,0.858477873,0.016275349,0
122,2.84E-07,3.47E-05,0.661020378,0.016275349,0
123,2.54E-07,3.65E-05,0.750350676,0.016275349,0
124,1.96E-07,3.83E-05,1,0.016275349,0
125,2.48E-07,4.02E-05,0.69672295,0.016275349,0
126,1.94E-07,4.22E-05,0.930566836,0.016275349,0
127,1.85E-07,4.42E-05,0.930566836,0.016275349,0
128,1.93E-07,4.42E-05,0.930566836,0.016275349,0
