pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,1.92E-05,0.05027148,1.16E-07,0.470363906,1,pateint 13
2,1.85E-05,0.05027148,1.44E-07,0,1,
3,1.77E-05,0.05027148,1.10E-07,0.822665324,1,
4,1.70E-05,0.05027148,1.43E-07,0.201223444,1,
5,1.63E-05,0.05027148,1.48E-07,0.190919957,1,
6,1.57E-05,0.05027148,1.46E-07,0.33109813,1,
7,1.49E-05,0.05027148,1.30E-07,0.748355459,1,
8,1.43E-05,0.05027148,1.55E-07,0.363407135,1,
9,1.37E-05,0.05027148,1.52E-07,0.51269407,1,
10,1.31E-05,0.05027148,1.59E-07,0.482641905,1,
11,1.26E-05,0.05027148,1.71E-07,0.377929623,1,
12,1.20E-05,0.05027148,1.55E-07,0.756869811,1,
13,1.15E-05,0.05027148,1.73E-07,0.540532128,1,
14,1.10E-05,0.05027148,1.89E-07,0.396479932,1,
15,1.05E-05,0.05027148,1.78E-07,0.675393827,1,
16,1.00E-05,0.05027148,1.89E-07,0.603466122,1,
17,9.63E-06,0.05027148,1.95E-07,0.61786549,1,
18,9.17E-06,0.05027148,2.14E-07,0.454342591,1,
19,8.75E-06,0.05027148,1.84E-07,1,1,
20,8.38E-06,0.05027148,2.13E-07,0.679345101,1,
21,8.03E-06,0.030181315,2.37E-07,0.46489017,1,
22,7.66E-06,0.030414827,2.36E-07,0.583752842,1,
23,7.31E-06,0.028233735,2.53E-07,0.486906883,1,
24,6.99E-06,0.022565679,2.51E-07,0.621513196,1,
25,6.67E-06,0.019754688,2.60E-07,0.633301453,1,
26,6.38E-06,0.01766788,2.66E-07,0.671653259,1,
27,6.06E-06,0.032425311,2.76E-07,0.676379839,1,
28,5.85E-06,0,2.89E-07,0.646155158,1,
29,5.55E-06,0.019071623,2.91E-07,0.740502941,1,
30,5.32E-06,0.012323354,3.19E-07,0.568673233,1,
31,5.07E-06,0.020631792,3.17E-07,0.697948849,1,
32,4.82E-06,0.036105725,3.37E-07,0.626256702,1,
33,4.62E-06,0.027191144,3.47E-07,0.655883285,1,
34,4.41E-06,0.030010053,3.63E-07,0.624066981,1,
35,4.19E-06,0.048947152,3.59E-07,0.781579833,1,
36,4.03E-06,0.0351759,4.03E-07,0.52806446,1,
37,3.85E-06,0.041639752,4.10E-07,0.596176529,1,
38,3.65E-06,0.062664317,4.35E-07,0.520458648,1,
39,3.56E-06,0.015071866,4.63E-07,0.443995898,1,
40,3.34E-06,0.06390558,4.43E-07,0.717680165,1,
41,3.20E-06,0.063586846,4.80E-07,0.571483278,1,
42,3.05E-06,0.075443821,5.15E-07,0.460228389,1,
43,2.92E-06,0.081317637,5.17E-07,0.578806665,1,
44,2.79E-06,0.088420975,5.44E-07,0.533611188,1,
45,2.67E-06,0.088375662,5.54E-07,0.602560942,1,
46,2.55E-06,0.09980008,5.93E-07,0.500360364,1,
47,2.43E-06,0.114189592,6.10E-07,0.534195004,1,
48,2.31E-06,0.129369216,6.22E-07,0.601022843,1,
49,2.20E-06,0.141655311,6.49E-07,0.583961503,1,
50,2.11E-06,0.146802737,6.78E-07,0.567115562,1,
51,2.04E-06,0.125348251,6.99E-07,0.593780103,1,
52,1.95E-06,0.127983772,7.47E-07,0.496042076,1,
53,1.84E-06,0.166823275,7.84E-07,0.458414675,1,
54,1.76E-06,0.169488444,7.88E-07,0.582689394,1,
55,1.67E-06,0.205227497,8.42E-07,0.482351195,1,
56,1.60E-06,0.203583868,8.77E-07,0.477155211,1,
57,1.54E-06,0.190986966,9.12E-07,0.476534054,1,
58,1.46E-06,0.227230966,9.48E-07,0.478734715,1,
59,1.43E-06,0.183422788,9.79E-07,0.50553196,1,
60,1.33E-06,0.245809707,1.01E-06,0.523361,1,
61,1.28E-06,0.247133129,1.08E-06,0.425680765,1,
62,1.23E-06,0.245986819,1.11E-06,0.473575904,1,
63,1.16E-06,0.28379248,1.19E-06,0.375433949,1,
64,1.13E-06,0.248297004,1.24E-06,0.355236563,1,
65,1.06E-06,0.294555752,1.29E-06,0.357701583,1,
66,1.03E-06,0.25930467,1.35E-06,0.327146806,1,
67,9.67E-07,0.316992369,1.41E-06,0.308777651,1,
68,9.38E-07,0.295417756,1.48E-06,0.272951206,1,
69,8.67E-07,0.377650409,1.52E-06,0.345112503,1,
70,8.34E-07,0.372549319,1.58E-06,0.355192592,1,
71,7.91E-07,0.398492978,1.66E-06,0.300708698,1,
72,7.58E-07,0.404277827,1.71E-06,0.346084839,1,
