pixel,reflectance1,reflectance2,absorption1,absorption2,side,
35,3.31E-05,3.44E-06,0.032479217,0.480114725,2,
36,3.21E-05,3.47E-06,0.032479217,0.517512808,2,
37,3.10E-05,3.63E-06,0.032479217,0.492399843,2,
38,3.00E-05,3.72E-06,0.032479217,0.503638916,2,
39,2.97E-05,3.89E-06,0.032479217,0.482528815,2,
40,2.80E-05,3.86E-06,0.032479217,0.550477078,2,
41,2.71E-05,4.03E-06,0.032479217,0.533826908,2,
42,2.62E-05,4.00E-06,0.032479217,0.60293128,2,
43,2.55E-05,4.13E-06,0.032479217,0.60601876,2,
44,2.45E-05,4.22E-06,0.032479217,0.626214257,2,
45,2.38E-05,4.28E-06,0.032479217,0.659023414,2,
46,2.30E-05,4.50E-06,0.032479217,0.623929503,2,
47,2.24E-05,4.56E-06,0.032479217,0.660509097,2,
48,2.15E-05,4.59E-06,0.032479217,0.712468615,2,
49,2.10E-05,4.77E-06,0.032479217,0.703790584,2,
50,2.05E-05,4.91E-06,0.032479217,0.710307222,2,
51,1.97E-05,5.05E-06,0.032479217,0.719897512,2,
52,1.92E-05,5.24E-06,0.032479217,0.712862908,2,
53,1.84E-05,5.28E-06,0.032479217,0.763995996,2,
54,1.80E-05,5.66E-06,0.032479217,0.692507597,2,
55,1.74E-05,5.55E-06,0.032479217,0.801407895,2,
56,1.69E-05,5.86E-06,0.032479217,0.757859591,2,
57,1.63E-05,5.93E-06,0.032479217,0.802357917,2,
58,1.60E-05,6.26E-06,0.032479217,0.764002629,2,
59,1.55E-05,6.38E-06,0.048978238,0.793393926,2,
60,1.50E-05,6.71E-06,0.024569269,0.761535008,2,
61,1.45E-05,6.80E-06,0.049917869,0.806162035,2,
62,1.40E-05,7.11E-06,0.072685694,0.784088682,2,
63,1.38E-05,7.22E-06,0,0.824814294,2,
64,1.32E-05,7.38E-06,0.040975675,0.852626789,2,
65,1.28E-05,7.53E-06,0.048848871,0.886291273,2,
66,1.24E-05,7.90E-06,0.043677541,0.858605804,2,
67,1.21E-05,8.13E-06,0.031127753,0.873470098,2,
68,1.17E-05,8.32E-06,0.046016401,0.901336437,2,
69,1.13E-05,8.54E-06,0.064023312,0.92353845,2,
70,1.10E-05,8.95E-06,0.046897971,0.898766983,2,
71,1.06E-05,9.16E-06,0.066757328,0.929553833,2,
