pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,4.14E-05,8.62E-07,0.462557522,0.095766817,0,
2,3.99E-05,7.91E-07,0.462557522,1,0,
3,3.85E-05,8.29E-07,0.462557522,0.845486596,0,
4,3.74E-05,9.40E-07,0.462557522,0.044666043,0,
5,3.62E-05,9.43E-07,0.462557522,0.240295348,0,
6,3.50E-05,9.52E-07,0.462557522,0.389546418,0,
7,3.38E-05,9.47E-07,0.462557522,0.655827587,0,
8,3.26E-05,9.91E-07,0.462557522,0.50448141,0,
9,3.16E-05,1.07E-06,0.462557522,0.077445612,0,
10,3.03E-05,1.07E-06,0.462557522,0.298746248,0,
11,2.91E-05,1.08E-06,0.462557522,0.471271021,0,
12,2.82E-05,1.15E-06,0.462557522,0.188814176,0,
13,2.72E-05,1.15E-06,0.462557522,0.402405601,0,
14,2.63E-05,1.17E-06,0.462557522,0.473055913,0,
15,2.52E-05,1.26E-06,0.462557522,0.136913326,0,
16,2.43E-05,1.26E-06,0.462557522,0.34420279,0,
17,2.34E-05,1.32E-06,0.462557522,0.2040047,0,
18,2.24E-05,1.31E-06,0.462557522,0.523698156,0,
19,2.16E-05,1.35E-06,0.462557522,0.495460209,0,
20,2.08E-05,1.42E-06,0.462557522,0.291056794,0,
21,2.01E-05,1.46E-06,0.462557522,0.301418016,0,
22,1.93E-05,1.52E-06,0.462557522,0.19515025,0,
23,1.85E-05,1.56E-06,0.462557522,0.210850081,0,
24,1.78E-05,1.56E-06,0.462557522,0.417649865,0,
25,1.71E-05,1.62E-06,0.462557522,0.384729826,0,
26,1.64E-05,1.68E-06,0.462557522,0.288708925,0,
27,1.58E-05,1.78E-06,0.462557522,0.032424713,0,
28,1.53E-05,1.80E-06,0.462557522,0.193233971,0,
29,1.46E-05,1.84E-06,0.502404488,0.218054128,0,
30,1.41E-05,1.91E-06,0.478060993,0.147360291,0,
31,1.36E-05,1.95E-06,0.444208052,0.21554445,0,
32,1.29E-05,1.99E-06,0.535707111,0.312110292,0,
33,1.26E-05,2.09E-06,0.422063409,0.102441548,0,
