pixel,reflectance1,reflectance2,absorption1,absorption2,side,
103,1.94E-06,1.26E-05,0.033679442,0.062741224,1,
104,1.85E-06,1.31E-05,0.053246811,0.07249045,1,
105,1.81E-06,1.36E-05,0.048669429,0.061458526,1,
106,1.75E-06,1.41E-05,0.054793827,0.095954329,1,
107,1.71E-06,1.47E-05,0.043245665,0.056838508,1,
108,1.69E-06,1.53E-05,0.024572268,0.083331687,1,
109,1.62E-06,1.58E-05,0.0413866,0.093569293,1,
110,1.54E-06,1.65E-05,0.070434671,0.087926828,1,
111,1.57E-06,1.71E-05,0.011181348,0.087926828,1,
112,1.50E-06,1.78E-05,0.03141424,0.087926828,1,
113,1.43E-06,1.85E-05,0.054922044,0.087926828,1,
114,1.39E-06,1.92E-05,0.052390959,0.087926828,1,
115,1.39E-06,1.99E-05,0.015451186,0.087926828,1,
116,1.32E-06,2.07E-05,0.041583962,0.087926828,1,
117,1.25E-06,2.15E-05,0.071584136,0.087926828,1,
118,1.24E-06,2.24E-05,0.048736038,0.087926828,1,
119,1.21E-06,2.32E-05,0.050429998,0.087926828,1,
120,1.17E-06,2.42E-05,0.05324906,0.087926828,1,
121,1.15E-06,2.51E-05,0.036691901,0.087926828,1,
122,1.08E-06,2.60E-05,0.074707174,0.087926828,1,
123,1.06E-06,2.71E-05,0.073162269,0.087926828,1,
124,1.05E-06,2.81E-05,0.050262431,0.087926828,1,
125,9.88E-07,2.92E-05,0.083938016,0.087926828,1,
126,9.91E-07,3.02E-05,0.048720469,0.087926828,1,
127,8.83E-07,3.14E-05,0.146825292,0.087926828,1,
128,8.83E-07,3.14E-05,0.115034837,0.087926828,1,
