pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
103,3.21E-07,9.13E-06,0.547013355,0.06828458,2,
104,3.07E-07,9.57E-06,0.564474629,0.06828458,2,
105,2.86E-07,1.00E-05,0.652489351,0.06828458,2,
106,3.01E-07,1.06E-05,0.440233088,0.06828458,2,
107,2.56E-07,1.11E-05,0.73534131,0.06828458,2,
108,2.60E-07,1.17E-05,0.609159334,0.06828458,2,
109,2.61E-07,1.23E-05,0.520646704,0.06828458,2,
110,2.40E-07,1.30E-05,0.6260452,0.06828458,2,
111,2.50E-07,1.37E-05,0.450933649,0.06828458,2,
112,2.29E-07,1.43E-05,0.573090014,0.06828458,2,
113,2.36E-07,1.51E-05,0.421564095,0.06828458,2,
114,2.16E-07,1.58E-05,0.532350753,0.06828458,2,
115,2.07E-07,1.66E-05,0.555832687,0.06828458,2,
116,2.02E-07,1.74E-05,0.529367402,0.06828458,2,
117,1.85E-07,1.84E-05,0.639289163,0.06828458,2,
118,2.14E-07,1.93E-05,0.243939903,0.06828458,2,
119,1.52E-07,2.03E-05,0.905919454,0.06828458,2,
120,1.79E-07,2.13E-05,0.473609304,0.06828458,2,
121,1.49E-07,2.23E-05,0.798953924,0.06828458,2,
122,1.60E-07,2.34E-05,0.571115675,0.06828458,2,
123,1.49E-07,2.46E-05,0.637473409,0.06828458,2,
124,1.41E-07,2.58E-05,0.686175798,0.06828458,2,
125,1.45E-07,2.70E-05,0.54409922,0.06828458,2,
126,1.26E-07,2.83E-05,0.761358653,0.06828458,2,
127,1.25E-07,2.97E-05,0.70851733,0.06828458,2,
128,1.05E-07,3.13E-05,1,0.06828458,2,
