pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,4.42E-05,7.31E-07,0.010845138,0.778471938,0,patient 14
2,4.26E-05,6.92E-07,0.010845138,1,0,
3,4.11E-05,7.39E-07,0.010845138,0.891919876,0,
4,3.97E-05,7.69E-07,0.010845138,0.85363427,0,
5,3.81E-05,7.93E-07,0.010845138,0.841680643,0,
6,3.64E-05,7.84E-07,0.010845138,0.949251639,0,
7,3.51E-05,8.20E-07,0.010845138,0.895505015,0,
8,3.36E-05,8.52E-07,0.010845138,0.862808047,0,
9,3.21E-05,8.70E-07,0.010845138,0.877780356,0,
10,3.09E-05,9.06E-07,0.010845138,0.841060767,0,
11,2.96E-05,9.00E-07,0.010845138,0.935281833,0,
12,2.83E-05,9.17E-07,0.010845138,0.957142623,0,
13,2.72E-05,9.57E-07,0.010845138,0.914416993,0,
14,2.60E-05,9.80E-07,0.010845138,0.923384855,0,
15,2.50E-05,9.96E-07,0.010845138,0.955340455,0,
16,2.39E-05,1.02E-06,0.010845138,0.9539087,0,
17,2.29E-05,1.06E-06,0.010845138,0.943622257,0,
18,2.21E-05,1.11E-06,0.010845138,0.886221444,0,
19,2.13E-05,1.14E-06,0.009148505,0.869961782,0,
20,2.04E-05,1.18E-06,0.03015863,0.848669772,0,
21,1.97E-05,1.22E-06,0,0.824848629,0,
22,1.87E-05,1.21E-06,0.06906774,0.946203367,0,
23,1.81E-05,1.24E-06,0.052111274,0.943116172,0,
24,1.73E-05,1.27E-06,0.079807403,0.97166862,0,
25,1.66E-05,1.33E-06,0.099178286,0.909138581,0,
26,1.59E-05,1.34E-06,0.117843884,0.973393556,0,
27,1.53E-05,1.40E-06,0.126515366,0.925619038,0,
28,1.47E-05,1.41E-06,0.139854233,0.988715628,0,
29,1.43E-05,1.52E-06,0.102871096,0.828892812,0,
30,1.37E-05,1.49E-06,0.129896894,0.996064761,0,
31,1.31E-05,1.58E-06,0.163178348,0.902535948,0,
32,1.26E-05,1.64E-06,0.185711992,0.866691476,0,
33,1.20E-05,1.65E-06,0.225254983,0.934779683,0,
34,1.16E-05,1.71E-06,0.219166394,0.909505513,0,
35,1.13E-05,1.77E-06,0.197749533,0.892775671,0,
36,1.08E-05,1.79E-06,0.217153706,0.939672173,0,
37,1.04E-05,1.85E-06,0.251222232,0.925706326,0,
38,1.00E-05,1.91E-06,0.254320717,0.929378072,0,
39,9.79E-06,2.02E-06,0.19146349,0.836676312,0,
40,9.18E-06,2.00E-06,0.317075397,0.96274875,0,
41,8.84E-06,2.07E-06,0.328867624,0.941180053,0,
42,8.45E-06,2.16E-06,0.37229655,0.887982203,0,
43,8.15E-06,2.19E-06,0.378089306,0.948062826,0,
44,7.83E-06,2.29E-06,0.39935264,0.899454972,0,
45,7.51E-06,2.30E-06,0.428387254,0.985138707,0,
46,7.26E-06,2.38E-06,0.424981038,0.963887434,0,
47,6.95E-06,2.44E-06,0.464785868,0.974827694,0,
48,6.70E-06,2.55E-06,0.47632642,0.936534747,0,
49,6.43E-06,2.65E-06,0.499743133,0.894979603,0,
50,6.16E-06,2.73E-06,0.534498712,0.896145123,0,
51,5.96E-06,2.82E-06,0.532529732,0.890346974,0,
52,5.76E-06,2.90E-06,0.532067831,0.897475465,0,
53,5.56E-06,2.97E-06,0.543665853,0.910875281,0,
54,5.33E-06,3.11E-06,0.572869607,0.852762065,0,
55,5.17E-06,3.25E-06,0.565995482,0.809102062,0,
56,4.98E-06,3.33E-06,0.579515229,0.82390436,0,
57,4.79E-06,3.43E-06,0.599035911,0.824947211,0,
58,4.63E-06,3.56E-06,0.603167338,0.800305281,0,
59,4.46E-06,3.70E-06,0.618060957,0.764849238,0,
60,4.28E-06,3.84E-06,0.652568676,0.742467789,0,
61,4.16E-06,3.96E-06,0.63591828,0.737816256,0,
62,3.96E-06,4.07E-06,0.68971307,0.759922665,0,
63,3.84E-06,4.32E-06,0.687139465,0.643795344,0,
64,3.69E-06,4.41E-06,0.706079695,0.6818343,0,
65,3.58E-06,4.60E-06,0.700085211,0.632311588,0,
66,3.36E-06,4.68E-06,0.80509214,0.687606245,0,
67,3.28E-06,4.91E-06,0.778654252,0.618272014,0,
68,3.19E-06,5.08E-06,0.762116265,0.610029377,0,
69,3.06E-06,5.22E-06,0.795532936,0.626423045,0,
70,2.90E-06,5.43E-06,0.866268592,0.592304561,0,
71,2.82E-06,5.57E-06,0.855439233,0.616687499,0,
72,2.70E-06,5.80E-06,0.891742616,0.577537684,0,
73,2.60E-06,6.04E-06,0.908041029,0.541200515,0,
74,2.54E-06,6.27E-06,0.88051456,0.512127915,0,
75,2.49E-06,6.51E-06,0.843978473,0.489948068,0,
76,2.34E-06,6.65E-06,0.94823738,0.537794643,0,
77,2.32E-06,6.98E-06,0.877199696,0.459912087,0,
78,2.17E-06,7.16E-06,0.97690312,0.490328335,0,
79,2.09E-06,7.45E-06,1,0.457047324,0,
80,2.04E-06,7.74E-06,0.984683019,0.428439077,0,
81,2.00E-06,7.99E-06,0.943359466,0.434806963,0,
82,1.91E-06,8.28E-06,0.989424673,0.417965421,0,
83,1.86E-06,8.54E-06,0.980578237,0.430834526,0,
84,1.85E-06,8.93E-06,0.892481855,0.37136506,0,
85,1.75E-06,9.27E-06,0.965150075,0.350723462,0,
86,1.71E-06,9.59E-06,0.942931086,0.350291646,0,
87,1.64E-06,9.85E-06,0.983909881,0.38038723,0,
88,1.63E-06,1.03E-05,0.914435442,0.349715604,0,
89,1.56E-06,1.07E-05,0.954207452,0.308287773,0,
90,1.54E-06,1.11E-05,0.888732005,0.290270735,0,
91,1.52E-06,1.15E-05,0.851150503,0.301177604,0,
92,1.44E-06,1.18E-05,0.922582283,0.327266503,0,
93,1.47E-06,1.23E-05,0.766266053,0.277333928,0,
94,1.37E-06,1.26E-05,0.889809631,0.330423943,0,
95,1.35E-06,1.32E-05,0.843189146,0.279655016,0,
96,1.30E-06,1.37E-05,0.873574326,0.277432675,0,
97,1.28E-06,1.42E-05,0.820425203,0.269384142,0,
98,1.23E-06,1.48E-05,0.846995052,0.245127434,0,
99,1.21E-06,1.54E-05,0.826717982,0.215863278,0,
100,1.16E-06,1.58E-05,0.842761883,0.272326045,0,
101,1.16E-06,1.64E-05,0.774174501,0.245895388,0,
102,1.13E-06,1.69E-05,0.760816723,0.268058637,0,
103,1.09E-06,1.77E-05,0.796591787,0.240732949,0,
104,1.06E-06,1.84E-05,0.791829913,0.230153668,0,
105,1.03E-06,1.91E-05,0.777859361,0.210911608,0,
106,1.04E-06,1.98E-05,0.677974455,0.212348419,0,
107,9.78E-07,2.08E-05,0.765381422,0.149449303,0,
108,9.59E-07,2.16E-05,0.743115776,0.154641498,0,
109,9.53E-07,2.25E-05,0.683791943,0.121836378,0,
110,9.16E-07,2.34E-05,0.713442837,0.121055288,0,
111,8.58E-07,2.43E-05,0.806167307,0.104102272,0,
